;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;PvotTGL;;PvotCounofSiteID;;;;;;;;;PivotUpSLADLULVOLTSOC;;;;;;;;;PivotSiteIDSiteName;;136;96;PivotDeskripsiAll;;;;;;;;PivotListKPIPOWER;;;PivotListKPITRANSPORT;;;;;;
;;;Row Labels;;Count of Site ID;Column Labels;;;;;;;;Uptime;SLAVSAT;DL (Mbps);UL (Mbps);BattVolt1(V);BattSOC(%);Signal Quality(%);Stream Error(%);;Row Labels;Site Name;List KPI POWER;List KPI TRANSPORT; ;Site Name;Alrm BTS;Equipment Type;STATUS SLA BTS;STSTUS VSAT;;;Row Labels;Site Name;;Row Labels;Site Name;;;;;
;;;;;;;;;;;;;;;;;;;;;;;SMU00112;HILIDANAYAO;ADA;ADA;PAP0003;YAUR;#N/A;POWER;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;SMU0015;KOTO;ADA;ADA;PAP0004;AKUDIOMI;#N/A;CCTV;SP1;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;SMU002;TUWASO;ADA;ADA;PAP0004;AKUDIOMI;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;SMU0020;LABUHAN RIMA;ADA;ADA;PAP0005;SIMA;#N/A;POWER;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;SMU0021;LAMBAK;ADA;ADA;PAP0005;SIMA;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;SMU0023;MAHANG LABARA;ADA;ADA;PAP0006;TOPO;#N/A;CCTV;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;SMU0024;ADAM;ADA;ADA;PAP0007;URUMUSU;#N/A;ADUAN;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;SMU0026;LABUHAN RIMA BARU;ADA;ADA;PAP0007;URUMUSU;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;SMU0031;SILINA BARU;ADA;ADA;PAP0008;ARGO MULYO;#N/A;VSAT;SP1;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;SMU0033;BAWOLAWINDRA;ADA;ADA;PAP0009;TOPO JAYA;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;SMU0034;HILIZAMOROGOTANO;ADA;ADA;PAP0009;TOPO JAYA;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;SMU0036;LIMO BIANG;ADA;ADA;PAP0010;GAMEI JAYA;#N/A;POWER;SP1;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;SMU0039;WAWA;ADA;ADA;PAP0011;UNIPO;#N/A;BTS;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;SMU004;SIALEMA;ADA;ADA;PAP0011;UNIPO;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;SMU0040;AFORE GOBO;ADA;ADA;PAP0012;AIBORE;#N/A;CCTV;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;SMU0042;BALUTA;ADA;ADA;PAP0013;EPOMANI;#N/A;ADUAN;NOK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;SMU0043;EHO BALUTA;ADA;ADA;PAP0013;EPOMANI;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;SMU0045;HALE BALUTA;ADA;ADA;PAP0016;UGIDA;#N/A;BTS;SP1;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;SMU0046;BAWO ORUDUA;ADA;ADA;PAP0016;UGIDA;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;SMU0047;JEKE;ADA;ADA;PAP0017;MAKIMI;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;SMU0048;MAKOLE;ADA;ADA;PAP0017;MAKIMI;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;SMU0049;SIFAURUASI;ADA;ADA;PAP0018;NIFASI;#N/A;ADUAN;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;SMU0052;HILIGEHO SOGAWU;ADA;ADA;PAP0019;BIHA;#N/A;CCTV;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;SMU006;LUMBUI MELAYU;ADA;ADA;PAP0019;BIHA;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;SMU008;LUMBUI NIAS;ADA;ADA;PAP0020;MAIDEY;#N/A;VSAT;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;(blank);(blank);NO LIST;NO LIST;PAP0021;MANUNGGAL JAYA;#N/A;CCTV;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;Grand Total;;;;PAP0021;MANUNGGAL JAYA;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0022;NAPAN YAUR;#N/A;VSAT;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0023;YERETUAR;#N/A;VSAT;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0024;BAWEI;#N/A;CCTV;BAD;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0024;BAWEI;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0025;GONI;#N/A;POWER;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0025;GONI;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0026;ORORODO;#N/A;CCTV;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0027;BOMOPAI;#N/A;POWER;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0027;BOMOPAI;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0028;PARAUTO;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0028;PARAUTO;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0034;MAMBOR;#N/A;CCTV;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0035;HARITI;#N/A;BTS;SP1;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0035;HARITI;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0036;MOOR;#N/A;POWER;SP1;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0037;KAMA;#N/A;NO TIKET;NOK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0037;KAMA;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0038;ARUI;#N/A;BTS;SP1;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0044;KUNUPI;#N/A;BTS;SP1;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0045;OGIYAI;#N/A;CCTV;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0045;OGIYAI;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0049;KAIRAWI;#N/A;NO TIKET;NOK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0049;KAIRAWI;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0050;NATABUI;#N/A;CCTV;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0050;NATABUI;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0051;WARABORI;#N/A;BTS;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0051;WARABORI;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0053;SASAWA;#N/A;CCTV;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0053;SASAWA;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0055;MANIRI;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0055;MANIRI;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0057;YENUSI;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0057;YENUSI;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0058;MARAU;#N/A;BTS;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0058;MARAU;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0059;TOWETA;#N/A;CCTV;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0059;TOWETA;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0060;MOIWANI;#N/A;CCTV;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0060;MOIWANI;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0061;YARORI;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0061;YARORI;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0062;NAREI;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0062;NAREI;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0072;MANANAYAN;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0072;MANANAYAN;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0076;POOM II;#N/A;BTS;NOK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0076;POOM II;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0077;MAKIROAN;#N/A;CCTV;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0077;MAKIROAN;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0079;WORIOI;#N/A;BTS;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0079;WORIOI;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0081;AROMAREA;#N/A;POWER;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0083;KANAWA;#N/A;CCTV;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0084;TATUI;#N/A;CCTV;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0085;ARIEPI;#N/A;CCTV;SP1;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0086;SARWANDORI I;#N/A;VSAT;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0087;AMBAIDIRU;#N/A;CCTV;SP1;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0088;MAMBO;#N/A;CCTV;BAD;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0089;PANDUAMI;#N/A;CCTV;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0090;NUMAMAN;#N/A;BTS;SP1;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0090;NUMAMAN;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0091;RAMANGKURANI;#N/A;POWER;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0092;SARAWANDORI II;#N/A;POWER;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0093;ARIEPI II;#N/A;CCTV;SP1;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0093;ARIEPI II;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0094;MANAININ;#N/A;VSAT;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0113;TAREI;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0113;TAREI;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0128;WOOI;#N/A;CCTV;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0128;WOOI;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0129;WOINAP;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0129;WOINAP;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0130;AIBONDENI;#N/A;CCTV;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0130;AIBONDENI;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0131;KANAKI;#N/A;BTS;BAD;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0131;KANAKI;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0134;HAIHOREI;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0134;HAIHOREI;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0136;JAIMARIA;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0136;JAIMARIA;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0137;AWADO;#N/A;BTS;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0137;AWADO;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0140;ASAI;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0140;ASAI;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0142;WAISANI;#N/A;ADUAN;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0142;WAISANI;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0154;JENIARI;#N/A;CCTV;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0155;AUSEM;#N/A;POWER;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0158;YAPAN;#N/A;ADUAN;NOK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0158;YAPAN;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0169;ROSAYENDI;#N/A;BTS;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0169;ROSAYENDI;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0171;NERMNU;#N/A;BTS;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0171;NERMNU;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0186;KANDIBUNDI;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0186;KANDIBUNDI;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0187;SOSMAI;#N/A;BTS;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0187;SOSMAI;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0191;SAWAI;#N/A;BTS;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0191;SAWAI;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0193;YERUBOI;#N/A;BTS;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0193;YERUBOI;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0197;WASANI;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0197;WASANI;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0198;KARUIBERIK;#N/A;VSAT;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0200;INYOBI;#N/A;CCTV;NOK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0200;INYOBI;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0208;KABIDON;#N/A;CCTV;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0208;KABIDON;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0209;SUNYAR;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0209;SUNYAR;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0210;MOIBAKEN;#N/A;ADUAN;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0210;MOIBAKEN;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0212;SYABES;#N/A;BTS;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0212;SYABES;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0213;SUNERI;#N/A;CCTV;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0213;SUNERI;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0214;ASUR;#N/A;POWER;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0215;WASORI;#N/A;CCTV;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0216;SOR;#N/A;BTS;SP1;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0221;RUMBIN;#N/A;BTS;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0221;RUMBIN;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0222;ROIDIFU;#N/A;BTS;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0222;ROIDIFU;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0224;WOUNA;#N/A;NO TIKET;NOK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0224;WOUNA;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0225;WODU;#N/A;CCTV;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0225;WODU;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0226;FARUSI;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0226;FARUSI;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0228;SWAINOBER;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0228;SWAINOBER;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0229;MARDORI;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0229;MARDORI;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0232;SARWA;#N/A;CCTV;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0232;SARWA;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0260;MAKMAKERBO;#N/A;POWER;SP1;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0261;WOPES;#N/A;CCTV;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0261;WOPES;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0264;SANSUNDI;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0264;SANSUNDI;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0272;PAPATO;#N/A;NO TIKET;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0275;PUDOTADI;#N/A;NO TIKET;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0275;PUDOTADI;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0282;IDAIYO;#N/A;NO TIKET;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0285;AMOPA;#N/A;VSAT;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0293;PUTAKOGOPA;#N/A;NO TIKET;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0295;YABOMAIDA;#N/A;POWER;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0301;BODATADI;#N/A;NO TIKET;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0302;TOYAIMOTI;#N/A;NO TIKET;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0303;ABATADI;#N/A;VSAT;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0304;TAGIYA;#N/A;VSAT;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0304;TAGIYA;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0307;GANIATAKA;#N/A;NO TIKET;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0308;DUA DIDE;#N/A;NO TIKET;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0316;BIBIDA;#N/A;NO TIKET;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0318;ODIYAI;#N/A;POWER;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0321;KOLAITAGA;#N/A;NO TIKET;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0322;DAMA DAMA;#N/A;VSAT;BAD;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0322;DAMA DAMA;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0328;TODIYA AIYAIKEBO;#N/A;ADUAN;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0329;DADOU;#N/A;VSAT;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0330;BUA;#N/A;ADUAN;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0330;BUA;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0332;BUGU BUTU;#N/A;VSAT;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0333;DOGOMOUTO;#N/A;ADUAN;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0333;DOGOMOUTO;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0334;NOMOKOPETA;#N/A;ADUAN;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0334;NOMOKOPETA;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0335;EUGAI;#N/A;ADUAN;OK;NOK;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0335;EUGAI;;;;SP1;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0336;DEGATADI;#N/A;ADUAN;BAD;BAD;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;PAP0337;OWOYUPI;#N/A;NO TIKET;BAD;BAD;;;;;;;;;;;;
